"puestos_trabajo","rol_ocupacional","grupo_ocupacional"
"Procurement","Administrativo / Apoyo","Decisión y apoyo"
"Facilitador","Administrativo / Apoyo","Decisión y apoyo"
"Finanzas","Administrativo / Apoyo","Decisión y apoyo"
"RSE","Administrativo / Apoyo","Decisión y apoyo"
"Customer Success","Administrativo / Apoyo","Decisión y apoyo"
"Especialista en Diversidad","Administrativo / Apoyo","Decisión y apoyo"
"Encargado de redes sociales","Administrativo / Apoyo","Decisión y apoyo"
"Recruiting","Administrativo / Apoyo","Decisión y apoyo"
"Community Manager","Administrativo / Apoyo","Decisión y apoyo"
"Técnico de selección de personal","Administrativo / Apoyo","Decisión y apoyo"
"Audit","Administrativo / Apoyo","Decisión y apoyo"
"Control de gestión","Administrativo / Apoyo","Decisión y apoyo"
"CFM","Administrativo / Apoyo","Decisión y apoyo"
"Client Financial Management","Administrativo / Apoyo","Decisión y apoyo"
"Actuarial","Administrativo / Apoyo","Decisión y apoyo"
"Tax","Administrativo / Apoyo","Decisión y apoyo"
"Impuestos","Administrativo / Apoyo","Decisión y apoyo"
"Gestión de calidad","Administrativo / Apoyo","Decisión y apoyo"
"Billing","Administrativo / Apoyo","Decisión y apoyo"
"Abogada","Administrativo / Apoyo","Decisión y apoyo"
"Contract","Administrativo / Apoyo","Decisión y apoyo"
""" HR""","Administrativo / Apoyo","Decisión y apoyo"
"Calidad ISO","Administrativo / Apoyo","Decisión y apoyo"
"CRM Specialist","Administrativo / Apoyo","Decisión y apoyo"
"Business Development","Administrativo / Apoyo","Decisión y apoyo"
"Profesor/a","Otros","Decisión y apoyo"
"Traductor/a","Otros","Decisión y apoyo"
"Docente","Otros","Decisión y apoyo"
"Universidad","Otros","Decisión y apoyo"
"Facultad","Otros","Decisión y apoyo"
"Coderhouse","Otros","Decisión y apoyo"
"Estudiante","Otros","Decisión y apoyo"
"Polo it","Otros","Decisión y apoyo"
"Camara","Otros","Decisión y apoyo"
"Cátedra","Otros","Decisión y apoyo"
"Gobierno de","Otros","Decisión y apoyo"
"Centro de","Otros","Decisión y apoyo"
"Municipal","Otros","Decisión y apoyo"
"Instituto","Otros","Decisión y apoyo"
"Colegio","Otros","Decisión y apoyo"
"Direccion general","Otros","Decisión y apoyo"
"Hospital","Otros","Decisión y apoyo"
"Centro médico","Otros","Decisión y apoyo"
"Investigador","Otros","Decisión y apoyo"
"Ministerio","Otros","Decisión y apoyo"
"Agencia de quiniela","Otros","Decisión y apoyo"
